COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
Posttranslational modification, protein turnover, chaperones!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	O!!!U!!!W	GC_00003408, GC_00003494	0.0385	0	26	61
Posttranslational modification, protein turnover, chaperones!!!Signal transduction mechanisms	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	O!!!T	GC_00003602	0.0385	0	26	61
Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Energy production and conversion	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	Q!!!I!!!Q!!!C	GC_00003385	0.0385	0	26	61
Signal transduction mechanisms!!!Transcription	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	T!!!K	GC_00004155	0.0385	0	26	61
Transcription!!!Carbohydrate transport and metabolism	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	K!!!G	GC_00003624	0.0385	0	26	61
Transcription!!!Signal transduction mechanisms	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	K!!!T	GC_00004171	0.0385	0	26	61
General function prediction only!!!Signal transduction mechanisms	2.2957589455199496	0.12972778619042244	0.9149222815535056	M_intestini	R!!!T	GC_00002413	0.1154	0.0328	26	61
Mobilome: prophages, transposons!!!Function unknown	2.179793936036514	0.13983318308231854	0.9368823266515343	M_intestini	X!!!S	GC_00002195, GC_00003050	0.1923	0.082	26	61
Defense mechanisms!!!Function unknown	1.7125720163069562	0.19065200431534107	1	M_intestini	V!!!S	GC_00001950, GC_00002008	0.3846	0.2459	26	61
Transcription!!!Replication, recombination and repair	1.533740292653348	0.21555196034651866	1	M_smithii	K!!!L	GC_00002566, GC_00002672, GC_00003018, GC_00003019, GC_00003056, GC_00003149, GC_00003681	0.0769	0.1803	26	61
Amino acid transport and metabolism!!!Lipid transport and metabolism	1.3249289596621496	0.2497093686796733	1	M_smithii	E!!!I	GC_00002779	0	0.0492	26	61
Nucleotide transport and metabolism!!!Coenzyme transport and metabolism!!!Function unknown!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	0.8082469666680844	0.36863904358484223	1	M_intestini	F!!!H!!!S!!!U!!!W	GC_00002568	0.0769	0.0328	26	61
Signal transduction mechanisms!!!Signal transduction mechanisms	0.6077016068747237	0.4356545104718522	1	M_smithii	T!!!T	GC_00001676, GC_00001678, GC_00001698, GC_00002586, GC_00002587, GC_00003603	0.3846	0.4754	26	61
Cell motility!!!Carbohydrate transport and metabolism	0.43136014936901257	0.5113222973375839	1	M_smithii	N!!!G	GC_00004183	0	0.0164	26	61
Intracellular trafficking, secretion, and vesicular transport!!!Intracellular trafficking, secretion, and vesicular transport	0.43136014936901257	0.5113222973375839	1	M_smithii	U!!!U	GC_00003805	0	0.0164	26	61
Amino acid transport and metabolism!!!Function unknown	0.43136014936901174	0.5113222973375843	1	M_intestini	E!!!S	GC_00001466	1	0.9836	26	61
Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis	0.43136014936901174	0.5113222973375843	1	M_intestini	H!!!J	GC_00001469	1	0.9836	26	61
Energy production and conversion!!!Energy production and conversion!!!Energy production and conversion!!!General function prediction only	0.43136014936901174	0.5113222973375843	1	M_intestini	C!!!C!!!C!!!R	GC_00001443	1	0.9836	26	61
Transcription!!!Replication, recombination and repair!!!Replication, recombination and repair	0.43136014936901174	0.5113222973375843	1	M_intestini	K!!!L!!!L	GC_00000056, GC_00001839	1	0.9836	26	61
Amino acid transport and metabolism!!!Coenzyme transport and metabolism!!!Energy production and conversion	0.396167619633782	0.529075124382075	1	M_intestini	E!!!H!!!C	GC_00003027	0.0385	0.0164	26	61
Coenzyme transport and metabolism!!!Defense mechanisms	0.396167619633782	0.529075124382075	1	M_intestini	H!!!V	GC_00002821	0.0385	0.0164	26	61
Amino acid transport and metabolism!!!Amino acid transport and metabolism!!!Amino acid transport and metabolism	0.39616761963378033	0.5290751243820758	1	M_smithii	E!!!E!!!E	GC_00000065	0.9615	0.9836	26	61
Replication, recombination and repair!!!Mobilome: prophages, transposons	0.017779541177456053	0.8939245373664041	1	M_intestini	L!!!X	GC_00003279, GC_00003537, GC_00003785	0.0385	0.0328	26	61
Amino acid transport and metabolism	0	1	1	NA	E	GC_00000060, GC_00000109, GC_00000122, GC_00000125, GC_00000137, GC_00000146, GC_00000175, GC_00000253, GC_00000333, GC_00000334, GC_00000349, GC_00000368, GC_00000411, GC_00000416, GC_00000419, GC_00000450, GC_00000452, GC_00000458, GC_00000493, GC_00000516, GC_00000551, GC_00000579, GC_00000580, GC_00000615, GC_00000629, GC_00000679, GC_00000681, GC_00000683, GC_00000708, GC_00000753, GC_00000754, GC_00000831, GC_00000835, GC_00000847, GC_00000859, GC_00000862, GC_00000872, GC_00000881, GC_00000905, GC_00000907, GC_00000909, GC_00000918, GC_00000931, GC_00000952, GC_00000953, GC_00000954, GC_00000962, GC_00000978, GC_00000980, GC_00001039, GC_00001041, GC_00001069, GC_00001076, GC_00001125, GC_00001129, GC_00001188, GC_00001198, GC_00001203, GC_00001210, GC_00001270, GC_00001292, GC_00001301, GC_00001326, GC_00001328, GC_00001332, GC_00001334, GC_00001357, GC_00001409, GC_00001460, GC_00001486, GC_00001490, GC_00001494, GC_00001501, GC_00002260, GC_00002853, GC_00003355, GC_00003445, GC_00003478, GC_00003504, GC_00003548, GC_00003584, GC_00003606, GC_00003638, GC_00003756, GC_00003781, GC_00003844, GC_00004010	1	1	26	61
Amino acid transport and metabolism!!!Carbohydrate transport and metabolism	0	1	1	NA	E!!!G	GC_00000268, GC_00001247, GC_00001485, GC_00003257, GC_00004015, GC_00004151	1	1	26	61
Amino acid transport and metabolism!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	E!!!M	GC_00000011, GC_00000965	1	1	26	61
Amino acid transport and metabolism!!!Coenzyme transport and metabolism	0	1	1	NA	E!!!H	GC_00000135, GC_00000483, GC_00000818, GC_00001056, GC_00001419, GC_00001465, GC_00001491, GC_00002739, GC_00003389, GC_00003523, GC_00003761	1	1	26	61
Amino acid transport and metabolism!!!General function prediction only	0	1	1	NA	E!!!R	GC_00000083, GC_00000171, GC_00000490, GC_00000596, GC_00003329, GC_00003689	1	1	26	61
Amino acid transport and metabolism!!!Inorganic ion transport and metabolism	0	1	1	NA	E!!!P	GC_00000006, GC_00000169, GC_00000208, GC_00001029, GC_00003471, GC_00003522, GC_00003676	1	1	26	61
Amino acid transport and metabolism!!!Nucleotide transport and metabolism	0	1	1	NA	E!!!F	GC_00000779, GC_00000829, GC_00000880, GC_00001166, GC_00001204, GC_00002521	1	1	26	61
Amino acid transport and metabolism!!!Signal transduction mechanisms	0	1	1	NA	E!!!T	GC_00000532	1	1	26	61
Amino acid transport and metabolism!!!Translation, ribosomal structure and biogenesis	0	1	1	NA	E!!!J	GC_00001344	1	1	26	61
Carbohydrate transport and metabolism	0	1	1	NA	G	GC_00000127, GC_00000141, GC_00000178, GC_00000199, GC_00000343, GC_00000383, GC_00000570, GC_00000589, GC_00000595, GC_00000725, GC_00000821, GC_00000832, GC_00000884, GC_00000887, GC_00000957, GC_00001030, GC_00001040, GC_00001052, GC_00001080, GC_00001108, GC_00001114, GC_00001152, GC_00001231, GC_00001241, GC_00001245, GC_00001283, GC_00001310, GC_00001379, GC_00001928, GC_00002103, GC_00003305, GC_00003366, GC_00003424, GC_00003435, GC_00003583, GC_00003592, GC_00003651, GC_00003652, GC_00003668, GC_00003670, GC_00003718, GC_00003719, GC_00003726, GC_00003728, GC_00003790, GC_00003887, GC_00003893, GC_00003904, GC_00003910, GC_00003947, GC_00003983, GC_00003984, GC_00003986, GC_00003989, GC_00003995, GC_00004001, GC_00004016, GC_00004074, GC_00004084, GC_00004113	1	1	26	61
Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only	0	1	1	NA	G!!!E!!!R	GC_00001094	1	1	26	61
Carbohydrate transport and metabolism!!!Carbohydrate transport and metabolism	0	1	1	NA	G!!!G	GC_00001252, GC_00001470, GC_00001759, GC_00003254	1	1	26	61
Carbohydrate transport and metabolism!!!Cell cycle control, cell division, chromosome partitioning	0	1	1	NA	G!!!D	GC_00001268, GC_00001405	1	1	26	61
Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	G!!!M	GC_00000781, GC_00001987, GC_00003133	1	1	26	61
Carbohydrate transport and metabolism!!!Coenzyme transport and metabolism	0	1	1	NA	G!!!H	GC_00001036	1	1	26	61
Carbohydrate transport and metabolism!!!Energy production and conversion	0	1	1	NA	G!!!C	GC_00000853	1	1	26	61
Carbohydrate transport and metabolism!!!Lipid transport and metabolism	0	1	1	NA	G!!!I	GC_00000649	1	1	26	61
Carbohydrate transport and metabolism!!!Signal transduction mechanisms	0	1	1	NA	G!!!T	GC_00000119, GC_00001020	1	1	26	61
Cell cycle control, cell division, chromosome partitioning	0	1	1	NA	D	GC_00000062, GC_00000423, GC_00000455, GC_00001130, GC_00001442, GC_00003349, GC_00003722, GC_00004099	1	1	26	61
Cell cycle control, cell division, chromosome partitioning!!!Cell motility	0	1	1	NA	D!!!N	GC_00000505, GC_00003654	1	1	26	61
Cell cycle control, cell division, chromosome partitioning!!!Coenzyme transport and metabolism	0	1	1	NA	D!!!H	GC_00000509, GC_00001548	1	1	26	61
Cell cycle control, cell division, chromosome partitioning!!!Coenzyme transport and metabolism!!!Function unknown	0	1	1	NA	D!!!H!!!S	GC_00001407, GC_00002385	1	1	26	61
Cell cycle control, cell division, chromosome partitioning!!!Cytoskeleton	0	1	1	NA	D!!!Z	GC_00000360, GC_00003422	1	1	26	61
Cell cycle control, cell division, chromosome partitioning!!!Transcription	0	1	1	NA	D!!!K	GC_00000475	1	1	26	61
Cell motility	0	1	1	NA	N	GC_00000007, GC_00000858, GC_00001075, GC_00001133, GC_00001239, GC_00001656, GC_00002098, GC_00003609, GC_00004096	1	1	26	61
Cell wall/membrane/envelope biogenesis	0	1	1	NA	M	GC_00000009, GC_00000026, GC_00000037, GC_00000058, GC_00000074, GC_00000102, GC_00000130, GC_00000161, GC_00000172, GC_00000173, GC_00000179, GC_00000210, GC_00000213, GC_00000237, GC_00000488, GC_00000547, GC_00000550, GC_00000599, GC_00000618, GC_00000632, GC_00000640, GC_00000770, GC_00000812, GC_00000816, GC_00000923, GC_00000924, GC_00000939, GC_00000940, GC_00000985, GC_00000986, GC_00001093, GC_00001135, GC_00001140, GC_00001156, GC_00001162, GC_00001197, GC_00001208, GC_00001217, GC_00001228, GC_00001233, GC_00001238, GC_00001253, GC_00001259, GC_00001293, GC_00001297, GC_00001314, GC_00001315, GC_00001319, GC_00001335, GC_00001346, GC_00001365, GC_00001367, GC_00001376, GC_00001385, GC_00001415, GC_00001417, GC_00001418, GC_00001468, GC_00001478, GC_00001492, GC_00001535, GC_00001559, GC_00001612, GC_00001620, GC_00001636, GC_00001637, GC_00001641, GC_00001647, GC_00001650, GC_00001655, GC_00001696, GC_00001735, GC_00001753, GC_00001754, GC_00001762, GC_00001773, GC_00001775, GC_00001790, GC_00001791, GC_00001796, GC_00001832, GC_00001837, GC_00001846, GC_00001960, GC_00002006, GC_00002083, GC_00002104, GC_00002140, GC_00002142, GC_00002250, GC_00002354, GC_00002387, GC_00002440, GC_00002541, GC_00002595, GC_00002690, GC_00002863, GC_00002982, GC_00003167, GC_00003335, GC_00003380, GC_00003382, GC_00003404, GC_00003473, GC_00003630, GC_00003720, GC_00003744, GC_00003902, GC_00003916, GC_00003932, GC_00004041, GC_00004109, GC_00004162, GC_00004165, GC_00004166, GC_00004170	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Carbohydrate transport and metabolism	0	1	1	NA	M!!!G	GC_00000637, GC_00001343, GC_00001391, GC_00001395, GC_00002251	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Cell cycle control, cell division, chromosome partitioning	0	1	1	NA	M!!!D	GC_00001164, GC_00001337, GC_00001825, GC_00002316, GC_00003057, GC_00003153, GC_00003819, GC_00003911	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Cell cycle control, cell division, chromosome partitioning!!!Signal transduction mechanisms	0	1	1	NA	M!!!D!!!T	GC_00000761, GC_00003824	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	M!!!M	GC_00000777	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis!!!Lipid transport and metabolism	0	1	1	NA	M!!!M!!!I	GC_00000088, GC_00001496	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!General function prediction only	0	1	1	NA	M!!!R	GC_00000176, GC_00000936, GC_00003637, GC_00003909, GC_00004185	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Lipid transport and metabolism	0	1	1	NA	M!!!I	GC_00001107	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones	0	1	1	NA	M!!!O	GC_00000202, GC_00000296, GC_00004125	1	1	26	61
Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	M!!!O!!!M	GC_00001014	1	1	26	61
Chromatin structure and dynamics	0	1	1	NA	B	GC_00000002, GC_00002278	1	1	26	61
Coenzyme transport and metabolism	0	1	1	NA	H	GC_00000008, GC_00000081, GC_00000092, GC_00000093, GC_00000094, GC_00000097, GC_00000132, GC_00000162, GC_00000174, GC_00000194, GC_00000266, GC_00000269, GC_00000272, GC_00000279, GC_00000317, GC_00000345, GC_00000347, GC_00000387, GC_00000392, GC_00000396, GC_00000408, GC_00000424, GC_00000434, GC_00000449, GC_00000456, GC_00000457, GC_00000461, GC_00000470, GC_00000499, GC_00000512, GC_00000517, GC_00000526, GC_00000529, GC_00000531, GC_00000533, GC_00000534, GC_00000569, GC_00000575, GC_00000583, GC_00000588, GC_00000601, GC_00000602, GC_00000610, GC_00000613, GC_00000620, GC_00000638, GC_00000662, GC_00000668, GC_00000682, GC_00000684, GC_00000704, GC_00000712, GC_00000726, GC_00000730, GC_00000733, GC_00000739, GC_00000760, GC_00000768, GC_00000774, GC_00000790, GC_00000791, GC_00000793, GC_00000794, GC_00000795, GC_00000796, GC_00000799, GC_00000805, GC_00000824, GC_00000827, GC_00000834, GC_00000848, GC_00000877, GC_00000879, GC_00000885, GC_00000886, GC_00000894, GC_00000897, GC_00000899, GC_00000908, GC_00000943, GC_00000950, GC_00000959, GC_00000966, GC_00000976, GC_00000989, GC_00000996, GC_00001015, GC_00001026, GC_00001034, GC_00001043, GC_00001045, GC_00001061, GC_00001064, GC_00001082, GC_00001100, GC_00001103, GC_00001105, GC_00001146, GC_00001157, GC_00001159, GC_00001167, GC_00001168, GC_00001177, GC_00001190, GC_00001194, GC_00001201, GC_00001206, GC_00001216, GC_00001227, GC_00001229, GC_00001246, GC_00001264, GC_00001272, GC_00001278, GC_00001279, GC_00001281, GC_00001285, GC_00001290, GC_00001307, GC_00001312, GC_00001325, GC_00001331, GC_00001338, GC_00001358, GC_00001364, GC_00001380, GC_00001394, GC_00001400, GC_00001410, GC_00001431, GC_00001482, GC_00001497, GC_00001505, GC_00001506, GC_00001621, GC_00001643, GC_00001661, GC_00002276, GC_00002625, GC_00002628, GC_00002972, GC_00003261, GC_00003280, GC_00003401, GC_00003457, GC_00003467, GC_00003516, GC_00003567, GC_00003691, GC_00003760, GC_00003832, GC_00003942, GC_00004005, GC_00004061, GC_00004095	1	1	26	61
Coenzyme transport and metabolism!!!Carbohydrate transport and metabolism	0	1	1	NA	H!!!G	GC_00001149	1	1	26	61
Coenzyme transport and metabolism!!!Energy production and conversion	0	1	1	NA	H!!!C	GC_00000851, GC_00003967	1	1	26	61
Coenzyme transport and metabolism!!!General function prediction only	0	1	1	NA	H!!!R	GC_00000938, GC_00000945, GC_00000987, GC_00003470, GC_00003877	1	1	26	61
Coenzyme transport and metabolism!!!Inorganic ion transport and metabolism	0	1	1	NA	H!!!P	GC_00000817, GC_00001303	1	1	26	61
Coenzyme transport and metabolism!!!Signal transduction mechanisms	0	1	1	NA	H!!!T	GC_00001388	1	1	26	61
Defense mechanisms	0	1	1	NA	V	GC_00000005, GC_00000050, GC_00000099, GC_00000170, GC_00000183, GC_00000211, GC_00000678, GC_00000687, GC_00000720, GC_00001000, GC_00001202, GC_00001214, GC_00001230, GC_00001256, GC_00001354, GC_00001390, GC_00001552, GC_00001558, GC_00001561, GC_00001567, GC_00001596, GC_00001597, GC_00001599, GC_00001602, GC_00001606, GC_00001609, GC_00001616, GC_00001617, GC_00001677, GC_00001679, GC_00001681, GC_00001709, GC_00001723, GC_00001741, GC_00001748, GC_00001749, GC_00001761, GC_00001763, GC_00001794, GC_00001795, GC_00001798, GC_00001814, GC_00001833, GC_00001851, GC_00001858, GC_00001884, GC_00001892, GC_00001898, GC_00001899, GC_00001900, GC_00001902, GC_00001906, GC_00001923, GC_00001927, GC_00001947, GC_00001962, GC_00001984, GC_00001986, GC_00001995, GC_00002001, GC_00002010, GC_00002052, GC_00002069, GC_00002072, GC_00002132, GC_00002138, GC_00002211, GC_00002212, GC_00002229, GC_00002253, GC_00002259, GC_00002360, GC_00002369, GC_00002403, GC_00002407, GC_00002425, GC_00002429, GC_00002435, GC_00002507, GC_00002524, GC_00002533, GC_00002543, GC_00002551, GC_00002559, GC_00002609, GC_00002622, GC_00002641, GC_00002662, GC_00002663, GC_00002664, GC_00002666, GC_00002668, GC_00002702, GC_00002703, GC_00002705, GC_00002706, GC_00002726, GC_00002729, GC_00002742, GC_00002755, GC_00002756, GC_00002764, GC_00002765, GC_00002772, GC_00002773, GC_00002795, GC_00002801, GC_00002858, GC_00002882, GC_00002883, GC_00002884, GC_00002896, GC_00002926, GC_00002927, GC_00002940, GC_00002946, GC_00002959, GC_00002985, GC_00003010, GC_00003013, GC_00003030, GC_00003031, GC_00003032, GC_00003033, GC_00003040, GC_00003041, GC_00003051, GC_00003058, GC_00003064, GC_00003070, GC_00003078, GC_00003081, GC_00003082, GC_00003083, GC_00003097, GC_00003102, GC_00003116, GC_00003130, GC_00003213, GC_00003214, GC_00003215, GC_00003216, GC_00003217, GC_00003218, GC_00003220, GC_00003224, GC_00003225, GC_00003232, GC_00003250, GC_00003251, GC_00003277, GC_00003291, GC_00003292, GC_00003293, GC_00003296, GC_00003297, GC_00003308, GC_00003313, GC_00003336, GC_00003337, GC_00003348, GC_00003352, GC_00003353, GC_00003359, GC_00003368, GC_00003369, GC_00003394, GC_00003416, GC_00003440, GC_00003443, GC_00003456, GC_00003550, GC_00003639, GC_00003640, GC_00003643, GC_00003649, GC_00003656, GC_00003661, GC_00003667, GC_00003698, GC_00003705, GC_00003795, GC_00003835, GC_00003848, GC_00003901, GC_00003923, GC_00003934, GC_00003937, GC_00004045, GC_00004077, GC_00004098, GC_00004107, GC_00004163, GC_00004164, GC_00004180, GC_00004184	1	1	26	61
Energy production and conversion	0	1	1	NA	C	GC_00000033, GC_00000087, GC_00000095, GC_00000111, GC_00000120, GC_00000123, GC_00000134, GC_00000140, GC_00000147, GC_00000164, GC_00000261, GC_00000270, GC_00000273, GC_00000274, GC_00000278, GC_00000280, GC_00000281, GC_00000287, GC_00000295, GC_00000298, GC_00000301, GC_00000313, GC_00000321, GC_00000338, GC_00000348, GC_00000351, GC_00000362, GC_00000364, GC_00000370, GC_00000374, GC_00000382, GC_00000393, GC_00000406, GC_00000418, GC_00000420, GC_00000433, GC_00000464, GC_00000465, GC_00000469, GC_00000476, GC_00000478, GC_00000484, GC_00000485, GC_00000496, GC_00000497, GC_00000500, GC_00000508, GC_00000520, GC_00000541, GC_00000607, GC_00000609, GC_00000612, GC_00000626, GC_00000627, GC_00000645, GC_00000652, GC_00000659, GC_00000707, GC_00000716, GC_00000718, GC_00000723, GC_00000741, GC_00000758, GC_00000763, GC_00000767, GC_00000769, GC_00000771, GC_00000782, GC_00000788, GC_00000797, GC_00000807, GC_00000808, GC_00000830, GC_00000839, GC_00000842, GC_00000845, GC_00000854, GC_00000892, GC_00000902, GC_00000915, GC_00000933, GC_00000937, GC_00000971, GC_00000974, GC_00000983, GC_00001001, GC_00001006, GC_00001049, GC_00001054, GC_00001112, GC_00001127, GC_00001178, GC_00001180, GC_00001184, GC_00001189, GC_00001199, GC_00001219, GC_00001222, GC_00001234, GC_00001249, GC_00001265, GC_00001322, GC_00001324, GC_00001383, GC_00001398, GC_00001453, GC_00001477, GC_00001525, GC_00001823, GC_00001868, GC_00002257, GC_00002416, GC_00002693, GC_00003288, GC_00003346, GC_00003354, GC_00003400, GC_00003432, GC_00003608, GC_00003680, GC_00003683, GC_00003741, GC_00003798, GC_00003926, GC_00003958, GC_00003972, GC_00003994, GC_00004014, GC_00004067, GC_00004081, GC_00004093, GC_00004133, GC_00004138	1	1	26	61
Energy production and conversion!!!Amino acid transport and metabolism	0	1	1	NA	C!!!E	GC_00001118, GC_00001462	1	1	26	61
Energy production and conversion!!!Energy production and conversion	0	1	1	NA	C!!!C	GC_00000055, GC_00000633, GC_00000696, GC_00000789, GC_00001011, GC_00001051, GC_00001143, GC_00001756	1	1	26	61
Energy production and conversion!!!Energy production and conversion!!!Energy production and conversion	0	1	1	NA	C!!!C!!!C	GC_00000714, GC_00001078	1	1	26	61
Energy production and conversion!!!Function unknown	0	1	1	NA	C!!!S	GC_00001373	1	1	26	61
Energy production and conversion!!!General function prediction only!!!Inorganic ion transport and metabolism	0	1	1	NA	C!!!R!!!P	GC_00001262	1	1	26	61
Energy production and conversion!!!Inorganic ion transport and metabolism	0	1	1	NA	C!!!P	GC_00000729, GC_00001060, GC_00001450, GC_00003703, GC_00003767	1	1	26	61
Energy production and conversion!!!Inorganic ion transport and metabolism!!!Energy production and conversion	0	1	1	NA	C!!!P!!!C	GC_00000023	1	1	26	61
Energy production and conversion!!!Lipid transport and metabolism!!!General function prediction only	0	1	1	NA	C!!!I!!!R	GC_00000803	1	1	26	61
Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	0	1	1	NA	C!!!O	GC_00001113	1	1	26	61
Extracellular structures	0	1	1	NA	W	GC_00000068, GC_00001361, GC_00003600	1	1	26	61
Function unknown	0	1	1	NA	S	GC_00000048, GC_00000052, GC_00000086, GC_00000090, GC_00000104, GC_00000114, GC_00000129, GC_00000158, GC_00000200, GC_00000206, GC_00000249, GC_00000276, GC_00000282, GC_00000290, GC_00000323, GC_00000373, GC_00000386, GC_00000414, GC_00000428, GC_00000460, GC_00000492, GC_00000542, GC_00000559, GC_00000576, GC_00000581, GC_00000592, GC_00000622, GC_00000624, GC_00000634, GC_00000660, GC_00000666, GC_00000672, GC_00000674, GC_00000688, GC_00000698, GC_00000740, GC_00000742, GC_00000765, GC_00000841, GC_00000850, GC_00000855, GC_00000916, GC_00000921, GC_00000968, GC_00000990, GC_00000992, GC_00001010, GC_00001042, GC_00001044, GC_00001079, GC_00001085, GC_00001109, GC_00001110, GC_00001151, GC_00001163, GC_00001171, GC_00001213, GC_00001221, GC_00001295, GC_00001300, GC_00001330, GC_00001370, GC_00001504, GC_00001515, GC_00001533, GC_00001576, GC_00001605, GC_00001691, GC_00001722, GC_00001760, GC_00001870, GC_00001901, GC_00001973, GC_00002022, GC_00002029, GC_00002139, GC_00002165, GC_00002249, GC_00002252, GC_00002262, GC_00002343, GC_00002386, GC_00002397, GC_00002399, GC_00002415, GC_00002500, GC_00002571, GC_00002629, GC_00002671, GC_00002975, GC_00003193, GC_00003290, GC_00003363, GC_00003560, GC_00003647, GC_00003780, GC_00003925, GC_00003928, GC_00003929, GC_00003975, GC_00004009, GC_00004022	1	1	26	61
