isolate	genome.size	genome.size_mbp	total_genes	core	soft-core	shell	cloud	country	species	species.1
V003_i2	1779657	1.78	1717	923	42	670	82	Vietnam	M. smithii	M.smithii
V033_i4	1789317	1.789	1745	922	35	688	100	Vietnam	M. smithii	M.smithii
V043_i2	1814366	1.814	1749	923	43	648	135	Vietnam	M. smithii	M.smithii
V057_i1	1835598	1.836	1787	923	43	703	118	Vietnam	M. smithii	M.smithii
V073_i4	1746809	1.747	1663	922	44	633	64	Vietnam	M. smithii	M.smithii
V107_i2	1811425	1.811	1757	923	44	658	132	Vietnam	M. smithii	M.smithii
V113_i1	1832730	1.833	1774	923	41	677	133	Vietnam	M. smithii	M.smithii
V115_i2	1825233	1.825	1752	923	44	683	102	Vietnam	M. smithii	M.smithii
V137_i1	1768807	1.769	1698	923	44	658	73	Vietnam	M. smithii	M.smithii
V143_i2	1776930	1.777	1710	923	43	657	87	Vietnam	M. smithii	M.smithii
V157_i2	1796647	1.797	1755	923	43	645	144	Vietnam	M. smithii	M.smithii
V187_i2	1802374	1.802	1713	923	43	659	88	Vietnam	M. smithii	M.smithii
V193_i1	1770064	1.77	1696	923	39	618	116	Vietnam	M. smithii	M.smithii
V209_i2	1841683	1.842	1747	920	39	635	153	Vietnam	M. smithii	M.smithii
V221_i4	1757825	1.758	1701	923	44	626	108	Vietnam	M. smithii	M.smithii
V229_i1	1819533	1.82	1729	923	42	633	131	Vietnam	M. smithii	M.smithii
V259_i1	1792457	1.792	1707	923	41	674	69	Vietnam	M. smithii	M.smithii
V269_i2	1782810	1.783	1704	923	41	646	94	Vietnam	M. smithii	M.smithii
V279_i1	1765743	1.766	1692	923	43	665	61	Vietnam	M. smithii	M.smithii
V281_i2	1788998	1.789	1704	922	44	677	61	Vietnam	M. smithii	M.smithii
V287_i2	1842547	1.843	1759	923	41	698	97	Vietnam	M. smithii	M.smithii
V325_i1	1727032	1.727	1656	923	44	650	39	Vietnam	M. smithii	M.smithii
V345_i1	1743952	1.744	1699	923	43	639	94	Vietnam	M. smithii	M.smithii
V356_i4	1779631	1.78	1720	923	42	647	108	Vietnam	M. smithii	M.smithii
V365_i3	1788477	1.788	1716	923	41	622	130	Vietnam	M. smithii	M.smithii
V416_i1	1810956	1.811	1762	922	37	670	133	Vietnam	M. smithii	M.smithii
V432_i3	1738370	1.738	1670	923	44	632	71	Vietnam	M. smithii	M.smithii
V434_i2	1802065	1.802	1711	922	41	649	99	Vietnam	M. smithii	M.smithii
GCF_000016525.1	1853160	1.853	1753	747	168	701	137	NCBI ref	M. smithii	type strain
