Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
T112_i2a	99.88	0.09	Neural Network (Specific Model)	11	0.903	194604	312.111241907004	1759420	0.31	1699	None
T150_i1	99.71	0.54	Neural Network (Specific Model)	11	0.896	536265	323.266923500275	1963633	0.3	1817	None
T198_i1	99.93	0.22	Neural Network (Specific Model)	11	0.901	1745783	311.362989323843	1745783	0.31	1686	None
T233_i1	99.89	0.25	Neural Network (Specific Model)	11	0.894	47106	299.259645464025	1924279	0.32	1918	None
T233_i3	99.91	0.2	Neural Network (Specific Model)	11	0.902	61869	310.950517836594	1794206	0.31	1738	None
T253_i1	99.92	0.21	Neural Network (Specific Model)	11	0.898	1842941	314.361617312073	1842941	0.31	1756	None
T253_i3	99.91	0.17	Neural Network (Specific Model)	11	0.901	103595	310.921067575241	1820752	0.31	1761	None
T262_i2	99.82	0.24	Neural Network (Specific Model)	11	0.902	1565054	322.393989983306	1923795	0.3	1797	None
T270_i2	99.94	0.47	Neural Network (Specific Model)	11	0.903	104968	312.434708875071	1833434	0.31	1769	None
V013_i1	98.68	0.21	Neural Network (Specific Model)	11	0.904	62654	301.720818291215	1662498	0.31	1662	None
V043_i2	99.85	0.21	Neural Network (Specific Model)	11	0.901	113003	307.591319052988	1814366	0.31	1774	None
V045_i2	99.84	0.14	Neural Network (Specific Model)	11	0.898	1769362	315.000593824228	1769362	0.31	1684	None
V045_i4	99.84	0.14	Neural Network (Specific Model)	11	0.902	35580	313.76579261025	1748308	0.31	1678	None
V045_i6	99.84	0.14	Neural Network (Specific Model)	11	0.9	50425	313.80142687277	1756483	0.31	1682	None
V055_i1	99.86	0.12	Neural Network (Specific Model)	11	0.898	91275	303.007328072153	1793355	0.31	1774	None
V073_i2	100	2.35	Neural Network (Specific Model)	11	0.879	29348	264.386568386568	2198913	0.35	2442	None
V073_i4	99.84	0.14	Neural Network (Specific Model)	11	0.898	1774305	314.970971563981	1774305	0.31	1688	None
V073_i6	99.81	0.14	Neural Network (Specific Model)	11	0.903	42956	314.448564593301	1745091	0.31	1672	None
V085_i4	99.87	0.53	Neural Network (Specific Model)	11	0.855	38651	296.325365853659	2126396	0.28	2050	None
V113_i1	99.96	0.19	Neural Network (Specific Model)	11	0.9	54452	306.649582172702	1832730	0.31	1795	None
V113_i4	99.96	0.19	Neural Network (Specific Model)	11	0.9	44708	305.893333333333	1832371	0.31	1800	None
V115_i2	99.94	0.12	Neural Network (Specific Model)	11	0.902	290752	310.167701863354	1825233	0.31	1771	None
V143_i2	99.88	0.32	Neural Network (Specific Model)	11	0.896	181363	306.954387990762	1776930	0.31	1732	None
V187_i2	99.82	0.28	Neural Network (Specific Model)	11	0.897	80970	309.517498565691	1802374	0.31	1743	None
V203_i1	99.44	0.4	Neural Network (Specific Model)	11	0.864	20870	292.554228855721	2037802	0.28	2010	None
V221_i1	99.7	0.1	Neural Network (Specific Model)	11	0.905	118765	309.287221570926	1746295	0.31	1706	None
V221_i3b	99.37	0.14	Neural Network (Specific Model)	11	0.906	118764	310.321620011912	1723748	0.31	1679	None
V229_i1	99.92	0.23	Neural Network (Specific Model)	11	0.902	62483	312.44837421563	1819533	0.31	1753	None
V259_i2	99.94	0.27	Neural Network (Specific Model)	11	0.897	87947	310.771909460244	1788089	0.31	1723	None
V273_i1	99.9	0.32	Neural Network (Specific Model)	11	0.896	79905	309.384570765661	1782609	0.31	1724	None
V279_i1	99.94	0.28	Neural Network (Specific Model)	11	0.904	237033	311.119742990654	1765743	0.31	1712	None
V281_i2	99.94	0.32	Neural Network (Specific Model)	11	0.891	1808398	312.228803716609	1808398	0.31	1722	None
V287_i1	99.92	0.27	Neural Network (Specific Model)	11	0.896	82898	310.612994350282	1838432	0.31	1770	None
V325_i1	99.79	0.21	Neural Network (Specific Model)	11	0.901	1556565	312.214841412328	1735599	0.31	1671	None
V325_i5	99.81	0.21	Neural Network (Specific Model)	11	0.902	42046	311.086175942549	1726742	0.31	1671	None
V345_i1	99.91	0.13	Neural Network (Specific Model)	11	0.893	150096	302.533178114086	1743952	0.31	1718	None
V356_i3b	99.39	0.14	Neural Network (Specific Model)	11	0.896	83975	305.096959265634	1778925	0.31	1743	None
V365_i3	99.91	0.1	Neural Network (Specific Model)	11	0.903	163525	310.968263127525	1788477	0.31	1733	None
V416_i1	99.77	0.12	Neural Network (Specific Model)	11	0.899	480722	306.178811659193	1820102	0.31	1784	None
V432_i1	99.88	0.24	Neural Network (Specific Model)	11	0.893	61964	305.528205128205	1799588	0.31	1755	None
V434_i2	99.89	0.28	Neural Network (Specific Model)	11	0.896	60586	307.846373500857	1802065	0.31	1751	None
G0023_i2	99.95	0.17	Neural Network (Specific Model)	11	0.904	53112	312.325749167592	1864587	0.31	1802	None
G0032_i2	99.68	0.19	Neural Network (Specific Model)	11	0.901	2026843	331.541010320478	2030367	0.3	1841	None
G0038_i1	99.93	0.57	Neural Network (Specific Model)	11	0.902	213990	308.973311546841	1883717	0.31	1836	None
G0046_i1	99.94	0.13	Neural Network (Specific Model)	11	0.904	1267274	317.203465623253	1879837	0.31	1789	None
G0046_i3	99.95	0.12	Neural Network (Specific Model)	11	0.904	297589	316.021799888206	1872793	0.31	1789	None
G0055_i1	99.91	0.2	Neural Network (Specific Model)	11	0.903	756003	318.455882352941	1868479	0.31	1768	None
G0065_i2	99.98	1.09	Neural Network (Specific Model)	11	0.896	89063	307.008594757198	2389187	0.33	2327	None
G0075_i2	99.91	0.14	Neural Network (Specific Model)	11	0.903	24362	326.551648351648	1971968	0.3	1820	None
G0075_i4	99.91	0.14	Neural Network (Specific Model)	11	0.902	35326	325.292282430213	1974879	0.3	1827	None
G0115_i2	99.93	0.1	Neural Network (Specific Model)	11	0.901	249129	315.5204778157	1845391	0.31	1758	None
G0120_i2	99.91	0.2	Neural Network (Specific Model)	11	0.9	184520	311.647160068847	1807563	0.31	1743	None
G0162_i2	99.8	0.15	Neural Network (Specific Model)	11	0.901	1803432	321.672004744958	1803432	0.31	1686	None
G0162_i4	99.8	0.3	Neural Network (Specific Model)	11	0.906	43213	316.888316151203	1829975	0.31	1746	None
G0174_i2	99.96	0.3	Neural Network (Specific Model)	11	0.901	2061196	328.015335801163	2062419	0.3	1891	None
G0174_i4	99.96	0.31	Neural Network (Specific Model)	11	0.907	27395	321.622611464968	2001200	0.3	1884	None
G0200_i2a	99.84	0.24	Neural Network (Specific Model)	11	0.906	73271	318.441073512252	1804171	0.31	1714	None
G0220_i1	99.91	0.19	Neural Network (Specific Model)	11	0.903	175045	312.977528089888	1847671	0.31	1780	None
G0220_i2	99.92	0.2	Neural Network (Specific Model)	11	0.903	509714	317.041713641488	1864941	0.31	1774	None
G0220_i2b	99.92	0.2	Neural Network (Specific Model)	11	0.903	194405	313.600450196961	1848256	0.31	1777	None
G0220_i4	99.91	0.2	Neural Network (Specific Model)	11	0.901	160348	312.590173087661	1861098	0.31	1791	None
G0228_i3	97.07	0.2	Neural Network (Specific Model)	11	0.903	1606455	315.961473087819	1850829	0.31	1765	None
G0234_i2	99.9	0.36	Neural Network (Specific Model)	11	0.91	28890	311.682140906608	1878738	0.31	1831	None
G0262_i1a	99.89	0.09	Neural Network (Specific Model)	11	0.904	120816	316.681109185442	1817062	0.31	1731	None
G0262_i2	99.55	0.09	Neural Network (Specific Model)	11	0.901	1814857	319	1814857	0.31	1711	None
G0262_i4	99.89	0.08	Neural Network (Specific Model)	11	0.903	35973	315.891140706427	1809353	0.31	1727	None
G0300_i2	99.91	0.13	Neural Network (Specific Model)	11	0.904	22371	308.670360110803	1845825	0.31	1805	None
G0300_i4	99.93	0.12	Neural Network (Specific Model)	11	0.892	188830	305.771117166213	1884214	0.31	1835	None
G0305_i2	99.9	0.16	Neural Network (Specific Model)	11	0.904	53614	316.980116959064	1795482	0.31	1710	None
G0305_i4	99.9	0.16	Neural Network (Specific Model)	11	0.906	37665	315.689393939394	1792394	0.31	1716	None
G0315_i2	99.96	0.26	Neural Network (Specific Model)	11	0.899	92883	321.214321734745	2122902	0.3	1983	None
G0321_i2	99.93	0.58	Neural Network (Specific Model)	11	0.905	530968	321.289029535865	2017523	0.3	1896	None
G0333_i1	99.91	0.89	Neural Network (Specific Model)	11	0.9	457260	326.473958333333	2087609	0.3	1920	None
G0348_i2	99.55	0.25	Neural Network (Specific Model)	11	0.902	22418	302.44506612411	1974901	0.3	1966	None
G0350_i2	99.88	0.68	Neural Network (Specific Model)	11	0.906	72637	319.300616649538	2053921	0.3	1946	None
G0354_i2	99.92	0.25	Neural Network (Specific Model)	11	0.905	58366	317.921288959324	1992279	0.3	1893	None
G0355_i2	99.92	0.28	Neural Network (Specific Model)	11	0.904	103100	316.570600632244	1991971	0.3	1898	None
G0361_i2	99.95	0.22	Neural Network (Specific Model)	11	0.901	106060	321.757074212493	2002943	0.3	1873	None
G0362_i3	99.95	0.22	Neural Network (Specific Model)	11	0.905	63212	321.619967793881	1982828	0.3	1863	None
G0364_i3	99.59	0.8	Neural Network (Specific Model)	11	0.906	83928	320.914225941423	2028602	0.3	1912	None
G0366_i3	99.7	0.34	Neural Network (Specific Model)	11	0.906	23805	304.543650793651	1776805	0.31	1764	None
G0371_i3	99.87	0.43	Neural Network (Specific Model)	11	0.906	105447	326.794447410571	2023250	0.3	1873	None
G0384_i2	99.95	0.16	Neural Network (Specific Model)	11	0.906	132598	311.644911504425	1862374	0.31	1808	None
G0390_i2	97.84	0.08	Neural Network (Specific Model)	11	0.906	25485	310.955916473318	1772183	0.31	1724	None
G0393_i1	99.76	0.69	Neural Network (Specific Model)	11	0.903	109681	315.479859013092	2077607	0.3	1986	None
G0400_i1	99.9	0.15	Neural Network (Specific Model)	11	0.907	44177	317.129943502825	1854983	0.31	1770	None
G0400_i3	99.93	0.15	Neural Network (Specific Model)	11	0.907	43081	317.511588468061	1855826	0.31	1769	None
G0403_i3	99.92	0.32	Neural Network (Specific Model)	11	0.904	196204	316.499126383227	1801689	0.31	1717	None
G0411_i1	99.87	0.67	Neural Network (Specific Model)	11	0.908	87541	321.436923076923	2068352	0.3	1950	None
G0415_i1b	99.94	0.14	Neural Network (Specific Model)	11	0.905	233355	309.828254847645	1850405	0.31	1805	None
LL_i12	99.74	0.33	Neural Network (Specific Model)	11	0.903	121782	317.075900277008	1899711	0.3	1805	None
LL_i15	99.75	0.32	Neural Network (Specific Model)	11	0.902	121782	316.953565505804	1903927	0.3	1809	None
LL_i22	99.75	0.33	Neural Network (Specific Model)	11	0.9	1513563	319.090809025867	1930259	0.3	1817	None
LL_i29	99.75	0.33	Neural Network (Specific Model)	11	0.899	1513664	319.277134986226	1930424	0.3	1815	None
LL_i33	99.74	0.33	Neural Network (Specific Model)	11	0.902	121782	316.883849557522	1902951	0.3	1808	None
LL_i39	99.75	0.33	Neural Network (Specific Model)	11	0.9	1704963	320.136842105263	1922967	0.3	1805	None
LL_i44a	99.74	0.31	Neural Network (Specific Model)	11	0.902	139850	316.276337562052	1904458	0.3	1813	None
T002_i1	99.9	0.11	Neural Network (Specific Model)	11	0.904	156755	312.833924349882	1754846	0.31	1692	None
T026_i1	99.76	0.83	Neural Network (Specific Model)	11	0.903	67182	308.780502043199	1755405	0.31	1713	None
T046_i1	99.89	0.3	Neural Network (Specific Model)	11	0.905	62619	306.659104130308	1745382	0.31	1719	None
T046_i3	99.89	0.3	Neural Network (Specific Model)	11	0.905	44049	307.498833138856	1745249	0.31	1714	None
T061_i1	99.93	0.17	Neural Network (Specific Model)	11	0.904	654884	316.953106682298	1792017	0.31	1706	None
T089_i2	99.85	0.17	Neural Network (Specific Model)	11	0.903	44053	313.915393654524	1772934	0.31	1702	None
T089_i4	97.49	0.16	Neural Network (Specific Model)	11	0.9	1416405	315.025225225225	1745487	0.31	1665	None
T112_i2	99.88	0.09	Neural Network (Specific Model)	11	0.901	202100	312.438565549677	1766333	0.31	1701	None
T112_i4	99.88	0.13	Neural Network (Specific Model)	11	0.901	210051	310.77998829725	1765484	0.31	1709	None
T150_i2	99.71	0.54	Neural Network (Specific Model)	11	0.898	180379	319.093493712411	1946292	0.3	1829	None
T198_i2	99.95	0.21	Neural Network (Specific Model)	11	0.903	234406	308.255731922399	1739341	0.31	1701	None
T233_i2	99.72	4.63	Neural Network (Specific Model)	11	0.892	32693	275.985436893204	2100244	0.34	2266	None
T233_i4	99.91	0.2	Neural Network (Specific Model)	11	0.904	42614	312.127450980392	1792750	0.31	1734	None
T253_i2	99.91	0.18	Neural Network (Specific Model)	11	0.901	173145	312.014772727273	1826453	0.31	1760	None
T262_i1	99.81	0.24	Neural Network (Specific Model)	11	0.905	80136	317.825167037862	1888704	0.3	1796	None
T270_i1	99.94	0.47	Neural Network (Specific Model)	11	0.901	1853975	317.99714774672	1853975	0.31	1753	None
V003_i2	99.81	0.16	Neural Network (Specific Model)	11	0.898	139360	306.81415420023	1779657	0.31	1738	None
V033_i4	99.63	0.16	Neural Network (Specific Model)	11	0.904	98669	304.162253521127	1789317	0.31	1775	None
V045_i1	99.84	0.14	Neural Network (Specific Model)	11	0.902	46246	313.429934406679	1746438	0.31	1677	None
V045_i3	99.84	0.14	Neural Network (Specific Model)	11	0.902	74978	313.849135360763	1748902	0.31	1677	None
V045_i5	99.83	0.14	Neural Network (Specific Model)	11	0.901	52086	313.765513126492	1747889	0.31	1676	None
V053_i2	99.88	0.77	Neural Network (Specific Model)	11	0.907	135157	323.039466940031	2082498	0.3	1951	None
V057_i1	99.93	0.2	Neural Network (Specific Model)	11	0.898	1009056	305.279955825511	1844647	0.31	1811	None
V073_i3	99.82	0.14	Neural Network (Specific Model)	11	0.901	72710	314.312612074118	1747664	0.31	1673	None
V073_i5	99.82	0.14	Neural Network (Specific Model)	11	0.902	51852	313.593675417661	1746642	0.31	1676	None
V073_i7	99.82	0.14	Neural Network (Specific Model)	11	0.902	50725	314.18219832736	1747820	0.31	1674	None
V107_i2	99.93	0.26	Neural Network (Specific Model)	11	0.904	223415	307.96676056338	1811425	0.31	1775	None
V113_i3	99.95	0.19	Neural Network (Specific Model)	11	0.901	32888	306.174082313682	1831319	0.31	1798	None
V115_i1	99.94	0.12	Neural Network (Specific Model)	11	0.902	264172	309.880992667795	1825132	0.31	1773	None
V137_i1	99.88	0.19	Neural Network (Specific Model)	11	0.897	1781898	310.194299011053	1781898	0.31	1719	None
V157_i2	99.95	0.13	Neural Network (Specific Model)	11	0.897	127382	302.191465468838	1796647	0.31	1781	None
V193_i1	99.9	0.11	Neural Network (Specific Model)	11	0.9	155917	309.803145020384	1770064	0.31	1717	None
V209_i2	99.93	0.12	Neural Network (Specific Model)	11	0.901	222617	313.424448217317	1841683	0.31	1767	None
V221_i3	99.78	0.12	Neural Network (Specific Model)	11	0.905	67439	307.85	1753362	0.31	1720	None
V221_i4	99.82	0.09	Neural Network (Specific Model)	11	0.905	137556	309.521282798834	1757825	0.31	1715	None
V259_i1	99.95	0.26	Neural Network (Specific Model)	11	0.897	121839	310.567708333333	1792457	0.31	1728	None
V269_i2	99.94	0.25	Neural Network (Specific Model)	11	0.9	100377	311.011033681765	1782810	0.31	1722	None
V273_i2	99.94	0.33	Neural Network (Specific Model)	11	0.895	100988	310.144269924375	1783890	0.31	1719	None
V281_i1	99.94	0.31	Neural Network (Specific Model)	11	0.895	147659	310.089327146172	1789797	0.31	1724	None
V285_i1	99.7	0.36	Neural Network (Specific Model)	11	0.856	45836	304.350663129973	2007561	0.28	1885	None
V287_i2	99.93	0.25	Neural Network (Specific Model)	11	0.892	1137043	312.397522522523	1863737	0.31	1776	None
V325_i2	99.69	0.22	Neural Network (Specific Model)	11	0.901	95158	310.643457382953	1720333	0.31	1666	None
V325_i6	99.82	0.21	Neural Network (Specific Model)	11	0.903	46370	310.963516746411	1725759	0.31	1672	None
V356_i3a	99.74	0.13	Neural Network (Specific Model)	11	0.895	93091	305.043974871502	1786903	0.31	1751	None
V356_i4	99.63	0.15	Neural Network (Specific Model)	11	0.897	43313	302.158820192853	1779631	0.31	1763	None
V375_i1	99.72	0.27	Neural Network (Specific Model)	11	0.856	34260	300.321697099893	1956008	0.28	1862	None
V416_i2	99.82	0.11	Neural Network (Specific Model)	11	0.902	79936	305.493834080717	1810840	0.31	1784	None
V432_i3	99.84	0.29	Neural Network (Specific Model)	11	0.897	1759843	311.798105387803	1759843	0.31	1689	None
