"genome"	"continent"	"species"	"corrected_genome_size"	"Completeness"	"Contamination"	"location"	"western_non_western"	"geo_category"	"Continent"
"G0412_i1"	"Africa"	"M. intestini"	2078765.265	99.91	0.64	"Gabon"	"non_western"	"africa"	"Africa"
"G0416_i3"	"Africa"	"M. intestini"	1982022.917	99.93	0.43	"Gabon"	"non_western"	"africa"	"Africa"
"GUT000600"	"EuroAsia"	"M. intestini"	1923258.343	99.91	0.24	"USA"	"western"	"western world"	"North America"
"GUT000603"	"EuroAsia"	"M. intestini"	1831170.144	91.81	0.14	"Sweden"	"western"	"western world"	"Europe"
"GUT000604"	"EuroAsia"	"M. intestini"	1735369.082	94.66	0.03	"UK"	"western"	"western world"	"Europe"
"GUT000610"	"EuroAsia"	"M. intestini"	1871640.74	99.91	0.29	"UK"	"western"	"western world"	"Europe"
"GUT000614"	"EuroAsia"	"M. intestini"	1760966.098	99.83	0.17	"UK"	"western"	"western world"	"Europe"
"GUT000619"	"EuroAsia"	"M. intestini"	1809816.427	99.02	0.14	"UK"	"western"	"western world"	"Europe"
"GUT000620"	"EuroAsia"	"M. intestini"	2068069.489	95.84	0.53	"USA"	"western"	"western world"	"North America"
"GUT000627"	"EuroAsia"	"M. intestini"	1807720.72	94.67	0.13	"UK"	"western"	"western world"	"Europe"
"GUT000642"	"EuroAsia"	"M. intestini"	1918431.698	99.95	0.38	"UK"	"western"	"western world"	"Europe"
"GUT000643"	"EuroAsia"	"M. intestini"	1748510.599	94.57	0.19	"Sweden"	"western"	"western world"	"Europe"
"GUT000658"	"EuroAsia"	"M. intestini"	1772427.341	94.48	0.1	"Austria"	"western"	"western world"	"Europe"
"GUT000663"	"EuroAsia"	"M. intestini"	1840857.761	99.77	0.23	"Austria"	"western"	"western world"	"Europe"
"GUT000667"	"EuroAsia"	"M. intestini"	1762039.321	99.6	0.25	"Austria"	"western"	"western world"	"Europe"
"GUT000670"	"EuroAsia"	"M. intestini"	1844124.428	96.9	0.26	"USA"	"western"	"western world"	"North America"
"GUT000672"	"EuroAsia"	"M. intestini"	1943723.455	92.63	0.76	"Austria"	"western"	"western world"	"Europe"
"GUT000682"	"EuroAsia"	"M. intestini"	1887444.549	95.63	0.31	"USA"	"western"	"western world"	"North America"
"GUT000684"	"EuroAsia"	"M. intestini"	1864560.366	99.85	0.23	"Sweden"	"western"	"western world"	"Europe"
"GUT000696"	"EuroAsia"	"M. intestini"	1850789.488	99.64	0.22	"USA"	"western"	"western world"	"North America"
"GUT000699"	"EuroAsia"	"M. intestini"	2039754.843	90.3	0.11	"USA"	"western"	"western world"	"North America"
"GUT000715"	"EuroAsia"	"M. intestini"	1948424.825	97.86	1.94	"France"	"western"	"western world"	"Europe"
"GUT000725"	"EuroAsia"	"M. intestini"	1962914.074	99.36	1.13	"USA"	"western"	"western world"	"North America"
"T150_i1"	"EuroAsia"	"M. intestini"	1958930.692	99.77	0.47	"Tuebingen"	"western"	"western world"	"Europe"
"T262_i2"	"EuroAsia"	"M. intestini"	1922646.292	99.83	0.23	"Tuebingen"	"western"	"western world"	"Europe"
"GUT000597"	"Africa"	"M. intestini"	1933318.798	97.46	0.63	"Cameroon"	"non_western"	"africa"	"Africa"
"GUT000721"	"Africa"	"M. intestini"	1954261.9	99.92	0.28	"Tanzania"	"non_western"	"africa"	"Africa"
