"species"	"genome"	"Genome_Length_bp"	"GC_Content"	"GC3_Content"	"GC_Skew"	"Total_Coding_Sequences"	"Coding_density"	"Average_Gene_Length"	"Hypothetical_Proteins"	"corrected_genome_size"	"genomeID"	"Coding_Density"
"M. intestini"	"G0354_i4"	2049050	30.3147800200093	19.8708965713802	-0.114918724609652	1939	90.7589858715014	959.101083032491	25.0526315789474	2045567.62	"G0354_i4"	0.907589858715014
"M. intestini"	"G0361_i1"	2048369	30.2060810332513	19.615732139636	0.00417254426423728	1921	89.6147617934073	955.565330557002	23.6325013276686	2045092.122	"G0361_i1"	0.896147617934073
"M. intestini"	"G0363_i4"	2084982	30.2981992170676	19.7191106604188	0.0410149062359226	1988	88.2975968137854	926.050804828974	26.7179487179487	2073098.938	"G0363_i4"	0.882975968137855
"M. intestini"	"G0370_i3"	2070603	30.3434313579184	20.0156431024687	0.0178005945088162	1934	89.621718890584	959.519131334023	24.8811410459588	2069154.904	"G0370_i3"	0.89621718890584
"M. intestini"	"G0380_i2"	1982556	30.3346286309189	19.6356729638014	-0.0163839038360345	1852	89.7477801383668	960.745140388769	22.0872446162341	1980776.167	"G0380_i2"	0.897477801383668
"M. intestini"	"G0385_i1"	1985759	30.1980250372779	19.5083371153583	-0.0149860510673461	1844	87.4391605426439	941.611171366594	22.7574750830565	1984569.532	"G0385_i1"	0.874391605426439
"M. intestini"	"G0391_i2"	2058417	30.2395481576376	19.6249950630533	0.0216038534580206	1906	88.3577040026389	954.233997901364	23.8350294590252	2043185.456	"G0391_i2"	0.883577040026389
"M. intestini"	"G0393_i1"	2077607	30.3307122088056	19.8851070372407	0.0542763108356653	2015	87.9828572006159	907.165260545906	28.9833080424886	2068476.545	"G0393_i1"	0.879828572006159
"M. intestini"	"G0411_i1"	2068352	30.3029174918002	19.7091259082641	0.00543387909137959	1985	88.3472929172597	920.570780856423	26.7077555213148	2056978.134	"G0411_i1"	0.883472929172597
"M. intestini"	"G0412_i1"	2090260	30.2625032292633	19.7660300174152	-0.0216709610546056	1984	88.4645929214547	932.026209677419	26.72147995889	2078765.265	"G0412_i1"	0.884645929214547
"M. intestini"	"G0416_i3"	1989183	30.3170698724049	19.6312955075965	-0.000762775951645704	1857	88.7877585923467	951.077544426494	23.2673267326733	1982022.917	"G0416_i3"	0.887877585923467
"M. intestini"	"T150_i1"	1963633	30.2882463270886	19.7541053598986	-0.0194199684247532	1859	89.6296813101023	946.744486282948	22.2100054975261	1958930.692	"T150_i1"	0.896296813101023
"M. intestini"	"T262_i2"	1923795	30.3468404897611	19.7901960082336	-0.018010455153828	1836	90.9687882544658	953.187908496732	22.6057906458797	1922646.292	"T262_i2"	0.909687882544658
