sample1	sample2	average_score	location.1	country.1	sampleType.1	location.2	country.2	sampleType.2	comparisons	compared_locations	host_comparisons
G0032_i2	G0355_i2	0.894430156329327	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0361_i1	0.833039891770281	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0361_i2	0.873319228591342	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0361_i3	0.826098719279061	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0362_i3	0.844860189037529	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0363_i4	0.849099797029488	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0364_i3	0.786883015206912	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0365_i1	0.83229111553666	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0370_i3	0.846082705799899	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0371_i3	0.839832798599197	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0380_i2	0.830318249528502	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0385_i1	0.830898530575752	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0390_i2	0.857238071394188	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0391_i2	0.840254957630801	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0393_i1	0.84118455856972	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0395_i1	0.854437687585896	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0411_i1	0.836713872497242	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0412_i1	0.794729410920603	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0416_i3	0.856003834589637	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	LL_i12	0.826914368279743	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i14	0.827872324552927	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i15	0.821774899414592	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i21	0.82383622912302	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i22	0.815753083965134	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i24	0.83066999073191	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i29	0.826434304577126	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i31	0.819328138387514	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i33	0.815815449334258	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i34	0.806637061420987	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i39	0.789900753330742	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i41	0.796778442585363	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i44a	0.836329221870002	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	LL_i44b	0.814191785006464	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	T150_i1	0.817990442063422	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	T150_i2	0.84681695707025	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	T262_i1	0.825569772986563	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i2	T262_i2	0.830160266564537	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	G0046_i2	0.887906150271755	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0065_i2	0.891365840152899	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0075_i1	0.829628707593529	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0075_i2	0.856182873440755	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0075_i3	0.853481650869391	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0075_i4	0.845093225701495	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0078_i1	0.838074833149059	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0174_i1	0.841246270404411	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0174_i2	0.873008359126906	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0174_i3	0.84667575972578	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0174_i4	0.844858984212831	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0218_i4b	0.793720538301463	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0315_i1	0.844550998846743	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0315_i2	0.853014059364116	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0317_i1	0.828800427152886	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0321_i2	0.85689546972108	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0322_i1	0.890441214881082	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0333_i1	0.80283058564556	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0348_i1	0.837031154491424	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0348_i2	0.865070956835585	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0349_i1	0.881995374960938	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0350_i2	0.810254699640078	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0354_i1	0.879918673953793	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0354_i2	0.853467477143679	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0354_i4	0.875022548847343	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0355_i2	0.865753283375971	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0361_i1	0.840280786421931	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0361_i2	0.862245876058218	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0361_i3	0.859218960407861	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0362_i3	0.859049630394231	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0363_i4	0.833651181954757	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0364_i3	0.83914052367003	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0365_i1	0.835609118188626	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0370_i3	0.835012473299674	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0371_i3	0.828322224329936	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0380_i2	0.801305708380467	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0385_i1	0.887835672410228	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0390_i2	0.885055952772027	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0391_i2	0.854320147607282	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0393_i1	0.866723772042337	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0395_i1	0.868535990116583	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0411_i1	0.809294323567886	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	G0412_i1	0.848777559861796	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i4	G0416_i3	0.862296326260703	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i4	LL_i12	0.828235919999579	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i14	0.847811550765736	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i15	0.83190433885369	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i21	0.831443319698996	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i22	0.849893308121335	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i24	0.825952553279172	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i29	0.847671577019043	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i31	0.815814017420463	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i33	0.809701683638626	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i34	0.828008409573432	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i39	0.808736600462783	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i41	0.846546933098112	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i44a	0.84610985491403	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	LL_i44b	0.820405683758156	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	T150_i1	0.804335640385012	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	T150_i2	0.870635426876657	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	T262_i1	0.859120350927317	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0032_i4	T262_i2	0.846542568660167	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	G0065_i2	0.873627122181425	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0075_i1	0.825798809394913	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0075_i2	0.872754681073286	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0075_i3	0.894093727430342	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0075_i4	0.862450344517429	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0078_i1	0.853304963148546	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0174_i1	0.839636076975499	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0174_i2	0.8308185250966	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0174_i3	0.852063615389905	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0174_i4	0.792350248031202	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0218_i4b	0.821791423561986	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0315_i1	0.839702766939217	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0315_i2	0.849075084313348	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0317_i1	0.863901403378294	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0321_i2	0.842610443241611	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0322_i1	0.886673618447605	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0333_i1	0.867139900116925	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0348_i1	0.856403230961281	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0348_i2	0.890008578281077	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0349_i1	0.845367202999321	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0350_i2	0.842208480740826	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0354_i1	0.849652173990686	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0354_i2	0.877191911337036	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0354_i4	0.813271108354401	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0355_i2	0.836887379820648	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0361_i1	0.869157618472734	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0361_i2	0.893147478678529	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0361_i3	0.860365634196929	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0362_i3	0.859066678110918	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0363_i4	0.818775267100324	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0364_i3	0.834282868076207	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0365_i1	0.847871698465812	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0370_i3	0.840812234529596	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0371_i3	0.857330255915027	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0380_i2	0.989661360731052	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0385_i1	0.897301412285514	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0390_i2	0.891435598212881	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0391_i2	0.842944387826642	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0393_i1	0.876246301605216	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0395_i1	0.882874920729293	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0411_i1	0.848871681492085	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	G0412_i1	0.844744889446634	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0046_i2	G0416_i3	0.851812116272643	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0046_i2	LL_i12	0.865427353605193	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i14	0.800859357057193	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i15	0.811655954819045	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i21	0.834134009664975	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i22	0.824266099691359	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i24	0.844155410913788	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i29	0.81593047039073	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i31	0.837818902305255	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i33	0.824886140400884	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i34	0.87037442036393	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i39	0.823167787960642	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i41	0.860398546683452	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i44a	0.83160780233259	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	LL_i44b	0.813155481895531	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	T150_i1	0.865477822532116	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	T150_i2	0.828631159004277	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	T262_i1	0.802204739932744	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0046_i2	T262_i2	0.799748711706979	Lambarene	Gabon	Adult	Germany	Germany	Adult	between host	G vs. T	Unrelated
G0065_i2	G0075_i1	0.814673409565075	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0075_i2	0.853164914584516	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0075_i3	0.87159712390314	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0075_i4	0.807068123555995	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0078_i1	0.843969370211447	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0174_i1	0.844525394692504	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0174_i2	0.852130643342573	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0174_i3	0.823596635151277	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0174_i4	0.816409557255749	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0218_i4b	0.839112667247348	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0315_i1	0.86208278389188	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0315_i2	0.839440820342083	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0317_i1	0.84871241495829	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0321_i2	0.861329748271614	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0322_i1	0.863637346569346	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0065_i2	G0333_i1	0.838878365832402	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0348_i1	0.852465298397822	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0348_i2	0.837900615160766	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0349_i1	0.86151258495018	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0065_i2	G0350_i2	0.912033447879663	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0065_i2	G0354_i1	0.868772309411121	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0354_i2	0.836700562366481	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0354_i4	0.883231606081327	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0065_i2	G0355_i2	0.845606973521449	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0065_i2	G0361_i1	0.829541192775187	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
